Assign6,Assign7,Assign8,Exam1,Major,HighestACT,HighSchoolGPA
90.0,100.0,100.0,90.0,Computer Science,34.0,3.95
95.0,75.0,87.0,70.0,Preparatory Engineering - ME,21.0,3.54
70.0,100.0,90.0,86.0,Computer Science,32.0,3.73
47.0,76.0,78.0,68.0,Computer Science,26.0,3.83
0.0,89.0,95.0,82.0,Management,33.0,3.74
78.0,89.0,98.0,74.0,Exploratory,30.0,4.0
66.0,90.0,94.0,84.0,Statistics,33.0,3.92
63.0,88.0,96.0,74.0,Exploratory,25.0,3.56
73.0,100.0,99.0,82.0,Computer Science,30.0,4.0
60.0,100.0,94.0,90.0,Computer Science,26.0,3.98
-50.0,58.5,93.0,80.0,Mechanical Engineering,21.0,3.859
93.0,0.0,100.0,86.0,Mechanical Engineering,32.0,4.0
48.0,99.0,100.0,84.0,Mathematics,30.0,4.0
