Quiz01,Assignment01
75,82
85,51
100,68
95,68
70,89
65,86
80,80
90,80
80,91
80,63
75,69
70,70
80,85
75,61
70,44
85,91
65,62
85,81
75,63
80,88
80,68
85,77
45,83
75,61
70,90
95,0
90,89
90,76
80,76
70,62
75,73
85,78
75,60
75,94
85,76
70,89
80,68
80,64
65,72
70,65
70,91
70,74
85,64
80,74
80,69
85,82
85,94
75,61
70,76
70,99
80,86
80,88
80,65
80,94
80,86
85,77
85,83
80,81
80,91
70,88
75,84
85,79
70,75
95,90
85,83
75,86
80,65
75,98
75,89
85,92
75,82
0,83
80,89
0,0
85,84
65,74
90,85
75,84
80,79
70,73
90,69
75,64
80,73
70,73
70,86
80,71
75,91
80,92
0,39
95,56
85,94
90,77
85,46
75,89
75,84
75,65
85,91
75,78
95,73
70,82
70,86
70,78
70,87
90,63
75,61
95,93
80,84
70,85
85,92
70,84
75,83
70,67
60,68
70,66
100,74
70,82
80,62
60,90
75,80
75,75
75,78
75,57
75,93
0,56
80,87
75,84
70,80
90,82
90,75
70,76
80,79
85,79
95,84
80,67
75,88
80,68
70,72
75,96
85,74
90,91
75,98
70,79
85,81
65,98
75,69
