Quiz01,Assignment01,MidtermExam,Assignment02
75,82,78,93
85,51,43,71
100,68,83,82
95,68,68,71
70,89,75,84
65,86,80,83
80,80,83,87
90,80,70,87
80,91,85,86
80,63,90,73
75,69,75,73
70,70,88,76
80,85,93,68
75,61,75,78
70,44,70,71
85,91,73,88
65,62,78,81
85,81,0,74
75,63,58,53
80,88,75,88
80,68,88,81
85,77,78,73
45,83,78,73
75,61,78,76
70,90,90,84
95,0,90,82
90,89,93,89
90,76,70,78
80,76,63,78
70,62,80,70
75,73,73,81
85,78,83,83
75,60,60,59
75,94,75,93
85,76,73,76
70,89,83,76
80,68,85,78
80,64,63,81
65,72,78,77
70,65,70,87
70,91,75,81
70,74,93,74
85,64,75,62
80,74,68,66
80,69,95,82
85,82,73,78
85,94,93,91
75,61,60,70
70,76,73,86
70,99,73,91
80,86,63,69
80,88,83,71
80,65,70,64
80,94,83,89
80,86,90,91
85,77,68,63
85,83,60,81
80,81,45,69
80,91,88,80
70,88,93,94
75,84,83,84
85,79,85,90
70,75,73,74
95,90,73,84
85,83,80,81
75,86,78,70
80,65,78,79
75,98,88,82
75,89,85,89
85,92,80,94
75,82,83,87
0,83,80,91
80,89,68,76
0,0,73,0
85,84,88,88
65,74,85,73
90,85,93,87
75,84,48,71
80,79,93,82
70,73,75,72
90,69,53,81
75,64,73,51
80,73,88,64
70,73,78,68
70,86,78,65
80,71,90,83
75,91,80,78
80,92,65,88
0,39,55,58
95,56,70,87
85,94,90,87
90,77,78,89
85,46,40,38
75,89,83,85
75,84,73,82
75,65,63,71
85,91,78,80
75,78,75,66
95,73,78,68
70,82,68,81
70,86,83,84
70,78,75,81
70,87,83,85
90,63,68,74
75,61,68,70
95,93,95,91
80,84,83,85
70,85,63,81
85,92,63,89
70,84,75,81
75,83,70,91
70,67,68,63
60,68,73,88
70,66,75,77
100,74,88,82
70,82,80,97
80,62,65,74
60,90,90,71
75,80,88,70
75,75,58,74
75,78,60,79
75,57,93,72
75,93,83,84
0,56,68,70
80,87,85,88
75,84,80,86
70,80,80,80
90,82,60,79
90,75,83,88
70,76,83,88
80,79,55,82
85,79,80,82
95,84,90,77
80,67,50,71
75,88,63,83
80,68,88,72
70,72,65,70
75,96,95,87
85,74,63,85
90,91,78,84
75,98,75,87
70,79,75,86
85,81,63,75
65,98,88,91
75,69,73,73
